state,keyword,candidate_title,candidate_url,extracted_title,identifier,status,is_real_bill,matches_keyword
CA,community land trust,AB 2420,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2420,Bill Text - AB-2420 Cannabis: donations: seniors.,AB 2420,Introduced,True,False
CA,community land trust,AB 2421,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2421,Bill Text - AB-2421 Political Reform Act of 1974: committee termination.,AB 2421,Introduced,True,False
CA,community land trust,AB 2422,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2422,Bill Text - AB-2422 Student financial aid: delayed financial aid awards: extensions.,AB 2422,Introduced,True,False
CA,community land trust,AB 2423,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2423,Bill Text - AB-2423 Public property: grants of property.,AB 2423,Introduced,True,False
CA,community land trust,AB 2424,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2424,Bill Text - AB-2424 Lifeline program.,AB 2424,Introduced,True,False
CA,community land trust,AB 2425,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2425,Bill Text - AB-2425 Department of Financial Protection and Innovation: escrow agents: budget reports.,AB 2425,Introduced,True,False
CA,community land trust,AB 2426,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2426,Bill Text - AB-2426 Deceptive practices.,AB 2426,Introduced,True,False
CA,community land trust,AB 2427,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2427,Bill Text - AB-2427 Personal Income Tax Law: Corporation Tax Law: tax credits: farming.,AB 2427,Introduced,True,False
CA,community land trust,AB 2428,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2428,Bill Text - AB-2428 Criminal fees.,AB 2428,Introduced,True,False
CA,community land trust,AB 2429,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2429,Bill Text - AB-2429 Childcare: mental health consultation services.,AB 2429,Introduced,True,False
CA,community land trust,AB 2430,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2430,Bill Text - AB-2430 Expanded learning programs: middle school and high school pupils.,AB 2430,Introduced,True,False
CA,community land trust,AB 2431,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2431,Bill Text - AB-2431 Downcoding medical claims.,AB 2431,Introduced,True,False
CA,community land trust,AB 2432,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2432,Bill Text - AB-2432 State Air Resources Board: regulations: analysis of financial impact on drivers.,AB 2432,Introduced,True,False
